SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
520123,ABC INDIA   ,X ,Q,96,96,89.15,91.55,92.95,91.75,19,858,78344,
520127,BALURGHAT TE,XT,Q,6.8,6.84,6.37,6.81,6.84,6.7,22,5813,38349,
520139,JAGSON AIRLI,XT,Q,2.83,3.11,2.83,3.11,3.11,2.97,9,800,2320,
520151,SHREY SH LOG,B ,Q,560.1,580,560.1,567.4,569,558,42,391,222423,
520155,STARLOG     ,X ,Q,54.95,58,52.75,52.85,52.75,55.5,43,3095,167307,
521005,INDOVATION  ,XT,Q,13.65,13.65,12.4,12.98,12.4,13,8,1051,13638,
521014,EUROTEX IND ,B ,Q,35,36,35,36,36,35.15,2,20,710,
521016,INDO COUNT  ,A ,Q,103,103.6,100.5,101,101.55,101.55,312,25936,2640988,
521018,MARAL OVERS ,B ,Q,37.75,37.75,37,37.3,37.3,37.1,9,2107,78203,
521030,NAKODA      ,T ,Q,0.41,0.43,0.41,0.41,0.43,0.43,13,8503,3486,
521034,SOMA TEXTILE,B ,Q,14.69,14.69,14,14.01,14,14.24,22,16341,229024,
521064,TRIDENT     ,A ,Q,73.3,73.7,71.85,72.15,72.4,72.75,658,104903,7618398,
521070,ALOK INDS.  ,T ,Q,3.57,3.57,3.25,3.25,3.25,3.42,213,471427,1554701,
521082,SPENTEX INDS,T ,Q,5.61,5.85,5.61,5.61,5.61,5.9,31,32867,184541,
521097,AMARJOTHI SP,X ,Q,150.5,154.85,150.5,151.7,151.05,153.15,67,12213,1854562,
521105,OLYMPIA IND.,XT,Q,184.25,187.9,175.1,177.85,187.9,184.25,37,256716,48098519,
521109,NAGREEKA EXP,B ,Q,37.2,38,35.35,35.35,35.35,37.2,13,2295,81769,
521113,SUDITI IND. ,XT,Q,75,75,72,72.3,72,72.55,16,2782,201161,
521141,ADITYA SPIN.,XT,Q,7.51,8.29,7.51,8.29,8.29,7.9,8,395,3243,
